"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Producer Price Index","WPU01130215","Lettuce","2023",4,"Base 1982=100",677.8
"Producer Price Index","WPU01130216","Onions, dry","2023",4,"Base 1982=100",165.6
"Producer Price Index","WPU01130217","Tomatoes","2023",4,"Base 1982=100",151
"Producer Price Index","WPU01130222","Broccoli","2023",4,"Base 1991=100",631.6
"Producer Price Index","WPU01130223","Cauliflower","2023",4,"Base 1991=100",317.4
"Producer Price Index","WPU01130225","Greens","2023",4,"Base 1991=100",245.1
"Producer Price Index","WPU01130228","Green peppers","2023",4,"Base 1991=100",373.5
"Producer Price Index","WPU01130229","Eggplant","2023",4,"Base 1991=100",369.2
"Producer Price Index","WPU01130231","Squash","2023",4,"Base 1991=100",201.9
"Producer Price Index","WPU01130232","Beets","2023",4,"Base 1991=100",121.7
"Producer Price Index","WPU01130234","Cucumbers","2023",4,"Base 1991=100",243.1
"Producer Price Index","WPU011303","Sweet potatoes","2023",4,"Base 1982=100",154.5
"Producer Price Index","WPU011306","Potatoes, all","2023",4,"Base 2011=100",222.6
"Producer Price Index","WPU01130602","Potatoes, round white","2023",4,"Base 1991=100",289.3
"Producer Price Index","WPU01130603","Potatoes, russet","2023",4,"Base 1991=100",397.5
"Producer Price Index","WPU01130604","Potatoes, round red","2023",4,"Base 1991=100",206.3
"Producer Price Index","WPU0119","All tree nuts","2023",4,"Base 1982=100",1266
"Producer Price Index","WPU01190101","Pecans","2023",4,"Base 1982=100",732.2
"Producer Price Index","WPU01190102","Almonds","2023",4,"Base 1991=100",361
"Producer Price Index","WPU01190103","Filberts","2023",4,"Base 1991=100",281.7
"Producer Price Index","WPU01190104","Walnuts","2023",4,"Base 1991=100",174.8
"Producer Price Index","WPU02","All processed foods and feeds","2023",4,"Base 1982=100",260
"Producer Price Index","WPU024","All processed fruits and vegetables","2023",4,"Base 1982=100",274
"Producer Price Index","WPU0241","All canned fruits and juices","2023",4,"Base 1982=100",286.3
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2023",4,"Base 1982=100",295.6
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2023",4,"Base 1982=100",287.6
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2023",4,"Base 1982=100",257
"Producer Price Index","WPU024202","Frozen fruits","2023",4,"Base 1982=100",288.6
"Producer Price Index","WPU0244","All canned vegetables and juices","2023",4,"Base 1982=100",243.2
"Producer Price Index","WPU02440102","Canned vegetables","2023",4,"Base 1987=100",276.6
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2023",4,"Base 1987=100",209.3
"Producer Price Index","WPU0245","All frozen vegetables","2023",4,"Base 1982=100",290.2
"Producer Price Index","WPU024502","Frozen potato products","2023",4,"Base 1990=100",298.5
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2023",4,"Base 1990=100",193.3
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2023",4,"Base 1982=100",311.8
"Producer Price Index","WPU02840102","Canned dry beans","2023",4,"Base 1982=100",222.4
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2023",4,"Base 1985=100",285.1
"Average retail price","APU0000711211","Bananas","2023",3,"Dollars per pound",0.632
"Average retail price","APU0000711311","Oranges, navel","2023",3,"Dollars per pound",1.509
"Average retail price","APU0000711412","Lemons","2023",3,"Dollars per pound",2.174
"Average retail price","APU0000711415","Strawberries","2023",3,"Dollars per 12 oz.",2.649
"Average retail price","APU0000712112","Potatoes, white","2023",3,"Dollars per pound",0.968
"Average retail price","APU0000712311","Tomatoes, field grown","2023",3,"Dollars per pound",1.932
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2023",3,"Dollars per 16 oz.",2.893
"Average retail price","APU0000714233","Beans, dried","2023",3,"Dollars per pound",1.687
"Average retail price","APU0000718311","Potato chips","2023",3,"Dollars per 16 oz.",6.526
"Average retail price","APU0000FL2101","Lettuce, romaine","2023",3,"Dollars per pound",2.805
"Consumer Price Index","CUUR0000SAF1","Food","2023",3,"Base 1982-84=100",320.863
"Consumer Price Index","CUUR0000SAF11","Food at home","2023",3,"Base 1982-84=100",301.918
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2023",3,"Base 1982-84=100",388.507
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2023",3,"Base 1982-84=100",403.347
"Consumer Price Index","CUUR0000SEFK01","Apples","2023",3,"Base 1982-84=100",376.465
"Consumer Price Index","CUUR0000SEFK02","Bananas","2023",3,"Base 1982-84=100",209.243
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2023",3,"Base December 1997=100",293.528
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2023",3,"Base December 1997=100",132.328
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2023",3,"Base 1982-84=100",371.572
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2023",3,"Base 1982-84=100",428.283
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2023",3,"Base 1982-84=100",386.943
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2023",3,"Base 1982-84=100",352.798
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2023",3,"Base 1982-84=100",365.064
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2023",3,"Base December 1997=100",199.766
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2023",3,"Base December 1997=100",188.17
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2023",3,"Base December 1997=100",171.251
"Consumer Price Index","CUUR0000SEFV","Food away from home","2023",3,"Base 1982-84=100",349.944
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2023",3,"Base 1982-84=100",556.254
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2023",3,"Base December 1997=100",200.415
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2023",3,"Base 1982-84=100",262.581
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2023",3,"Base December 1997=100",225.915
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2023",3,"Base December 1997=100",220.26
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2023",3,"Base December 1997=100",186.398
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2023",3,"Base 1982-84=100",159.807
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2023",3,"Base 1982=100",301.921
"Producer Price Index","WPU01","All farm products","2023",3,"Base 1982=100",241.4
"Producer Price Index","WPU0111","All fresh fruits and melons","2023",3,"Base 1982=100",171.3
"Producer Price Index","WPU011101","All citrus fruits","2023",3,"Base 1982=100",303
"Producer Price Index","WPU01110101","Grapefruits","2023",3,"Base 1982=100",651.8
"Producer Price Index","WPU01110104","Lemons","2023",3,"Base 1982=100",253.6
"Producer Price Index","WPU01110105","Oranges, Valencia","2023",3,"Base 1982=100",239.9
"Producer Price Index","WPU01110106","Oranges, navel","2023",3,"Base 1982=100",197
"Producer Price Index","WPU01110108","Tangerines","2023",3,"Base 1991=100",543.8
"Producer Price Index","WPU011102","All other fruits and berries","2023",3,"Base 1982=100",154.3
"Producer Price Index","WPU01110208","Apples, Granny Smith","2023",3,"Base 1991=100",208.1
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2023",3,"Base 1991=100",227.5
"Producer Price Index","WPU01110215","Apples, Red Delicious","2023",3,"Base 1991=100",329.1
"Producer Price Index","WPU01110216","Apples, McIntosh","2023",3,"Base 1982=100",230.5
"Producer Price Index","WPU01110221","Pears","2023",3,"Base 1982=100",158.3
"Producer Price Index","WPU01110222","Strawberries","2023",3,"Base 1982=100",159.6
"Producer Price Index","WPU0113","All fresh and dry vegetables","2023",3,"Base 1982=100",284.2
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2023",3,"Base 1982=100",232.4
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2023",3,"Base 1982=100",239.6
"Producer Price Index","WPU01130211","Cabbage","2023",3,"Base 1982=100",261.6
"Producer Price Index","WPU01130212","Carrots","2023",3,"Base 1982=100",269.6
"Producer Price Index","WPU01130213","Celery","2023",3,"Base 1982=100",325.1
"Producer Price Index","WPU01130214","Sweet corn","2023",3,"Base 1982=100",111.9
"Producer Price Index","WPU01130215","Lettuce","2023",3,"Base 1982=100",232.6
"Producer Price Index","WPU01130216","Onions, dry","2023",3,"Base 1982=100",176
"Producer Price Index","WPU01130217","Tomatoes","2023",3,"Base 1982=100",214.7
"Producer Price Index","WPU01130222","Broccoli","2023",3,"Base 1991=100",337.5
"Producer Price Index","WPU01130223","Cauliflower","2023",3,"Base 1991=100",88.4
"Producer Price Index","WPU01130225","Greens","2023",3,"Base 1991=100",252.2
"Producer Price Index","WPU01130226","Endive","2023",3,"Base 1991=100",704
"Producer Price Index","WPU01130228","Green peppers","2023",3,"Base 1991=100",565
"Producer Price Index","WPU01130231","Squash","2023",3,"Base 1991=100",263.6
"Producer Price Index","WPU01130232","Beets","2023",3,"Base 1991=100",174.2
"Producer Price Index","WPU01130234","Cucumbers","2023",3,"Base 1991=100",133.8
"Producer Price Index","WPU011303","Sweet potatoes","2023",3,"Base 1982=100",154.5
"Producer Price Index","WPU011306","Potatoes, all","2023",3,"Base 2011=100",202.6
"Producer Price Index","WPU01130603","Potatoes, russet","2023",3,"Base 1991=100",370.1
"Producer Price Index","WPU01130604","Potatoes, round red","2023",3,"Base 1991=100",223.2
"Producer Price Index","WPU0119","All tree nuts","2023",3,"Base 1982=100",1266
"Producer Price Index","WPU01190101","Pecans","2023",3,"Base 1982=100",732.2
"Producer Price Index","WPU01190102","Almonds","2023",3,"Base 1991=100",361
"Producer Price Index","WPU01190103","Filberts","2023",3,"Base 1991=100",281.7
"Producer Price Index","WPU01190104","Walnuts","2023",3,"Base 1991=100",174.8
"Producer Price Index","WPU02","All processed foods and feeds","2023",3,"Base 1982=100",261.2
"Producer Price Index","WPU024","All processed fruits and vegetables","2023",3,"Base 1982=100",273
"Producer Price Index","WPU0241","All canned fruits and juices","2023",3,"Base 1982=100",285.5
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2023",3,"Base 1982=100",296.9
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2023",3,"Base 1982=100",285.6
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2023",3,"Base 1982=100",244.5
"Producer Price Index","WPU024202","Frozen fruits","2023",3,"Base 1982=100",290.5
"Producer Price Index","WPU0244","All canned vegetables and juices","2023",3,"Base 1982=100",244.6
"Producer Price Index","WPU02440102","Canned vegetables","2023",3,"Base 1987=100",280.1
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2023",3,"Base 1987=100",209.6
"Producer Price Index","WPU0245","All frozen vegetables","2023",3,"Base 1982=100",289.4
"Producer Price Index","WPU024502","Frozen potato products","2023",3,"Base 1990=100",297.4
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2023",3,"Base 1990=100",193
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2023",3,"Base 1982=100",311.8
"Producer Price Index","WPU02840102","Canned dry beans","2023",3,"Base 1982=100",222.9
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2023",3,"Base 1985=100",285.2
"Average retail price","APU0000711211","Bananas","2023",2,"Dollars per pound",0.641
"Average retail price","APU0000711311","Oranges, navel","2023",2,"Dollars per pound",1.549
"Average retail price","APU0000711412","Lemons","2023",2,"Dollars per pound",2.157
"Average retail price","APU0000711415","Strawberries","2023",2,"Dollars per 12 oz.",3.169
"Average retail price","APU0000712112","Potatoes, white","2023",2,"Dollars per pound",0.978
"Average retail price","APU0000712311","Tomatoes, field grown","2023",2,"Dollars per pound",1.99
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2023",2,"Dollars per 16 oz.",2.982
"Average retail price","APU0000714233","Beans, dried","2023",2,"Dollars per pound",1.697
"Average retail price","APU0000718311","Potato chips","2023",2,"Dollars per 16 oz.",6.171
"Average retail price","APU0000FL2101","Lettuce, romaine","2023",2,"Dollars per pound",2.865
"Consumer Price Index","CUUR0000SAF1","Food","2023",2,"Base 1982-84=100",320.569
"Consumer Price Index","CUUR0000SAF11","Food at home","2023",2,"Base 1982-84=100",302.483
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2023",2,"Base 1982-84=100",396.163
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2023",2,"Base 1982-84=100",410.242
"Consumer Price Index","CUUR0000SEFK01","Apples","2023",2,"Base 1982-84=100",376.556
"Consumer Price Index","CUUR0000SEFK02","Bananas","2023",2,"Base 1982-84=100",212.403
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2023",2,"Base December 1997=100",292.211
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2023",2,"Base December 1997=100",137.594
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2023",2,"Base 1982-84=100",380.016
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2023",2,"Base 1982-84=100",432.55
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2023",2,"Base 1982-84=100",410.066
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2023",2,"Base 1982-84=100",365.251
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2023",2,"Base 1982-84=100",369.993
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2023",2,"Base December 1997=100",200.624
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2023",2,"Base December 1997=100",188.216
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2023",2,"Base December 1997=100",170.753
"Consumer Price Index","CUUR0000SEFV","Food away from home","2023",2,"Base 1982-84=100",347.869
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2023",2,"Base 1982-84=100",564.609
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2023",2,"Base December 1997=100",202.009
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2023",2,"Base 1982-84=100",263.467
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2023",2,"Base December 1997=100",226.573
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2023",2,"Base December 1997=100",220.879
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2023",2,"Base December 1997=100",184.34
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2023",2,"Base 1982-84=100",159.002
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2023",2,"Base 1982=100",302.425
"Producer Price Index","WPU01","All farm products","2023",2,"Base 1982=100",242.1
"Producer Price Index","WPU0111","All fresh fruits and melons","2023",2,"Base 1982=100",176.9
"Producer Price Index","WPU011101","All citrus fruits","2023",2,"Base 1982=100",312.6
"Producer Price Index","WPU01110101","Grapefruits","2023",2,"Base 1982=100",634.1
"Producer Price Index","WPU01110104","Lemons","2023",2,"Base 1982=100",254.2
"Producer Price Index","WPU01110105","Oranges, Valencia","2023",2,"Base 1982=100",243
"Producer Price Index","WPU01110106","Oranges, navel","2023",2,"Base 1982=100",207.4
"Producer Price Index","WPU01110108","Tangerines","2023",2,"Base 1991=100",592.3
"Producer Price Index","WPU011102","All other fruits and berries","2023",2,"Base 1982=100",159.7
"Producer Price Index","WPU01110208","Apples, Granny Smith","2023",2,"Base 1991=100",220.8
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2023",2,"Base 1991=100",233.3
"Producer Price Index","WPU01110215","Apples, Red Delicious","2023",2,"Base 1991=100",339.7
"Producer Price Index","WPU01110216","Apples, McIntosh","2023",2,"Base 1982=100",234.6
"Producer Price Index","WPU01110221","Pears","2023",2,"Base 1982=100",169
"Producer Price Index","WPU01110222","Strawberries","2023",2,"Base 1982=100",171.1
"Producer Price Index","WPU011103","All melons","2023",2,"Base 1991=100",242.2
"Producer Price Index","WPU01110301","Cantaloupes","2023",2,"Base 1982=100",293
"Producer Price Index","WPU0113","All fresh and dry vegetables","2023",2,"Base 1982=100",307.3
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2023",2,"Base 1982=100",236.8
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2023",2,"Base 1982=100",277.4
"Producer Price Index","WPU01130211","Cabbage","2023",2,"Base 1982=100",333.2
"Producer Price Index","WPU01130212","Carrots","2023",2,"Base 1982=100",269.3
"Producer Price Index","WPU01130213","Celery","2023",2,"Base 1982=100",318.4
"Producer Price Index","WPU01130214","Sweet corn","2023",2,"Base 1982=100",326.7
"Producer Price Index","WPU01130215","Lettuce","2023",2,"Base 1982=100",279.1
"Producer Price Index","WPU01130216","Onions, dry","2023",2,"Base 1982=100",188.9
"Producer Price Index","WPU01130217","Tomatoes","2023",2,"Base 1982=100",233.3
"Producer Price Index","WPU01130218","Snap beans","2023",2,"Base 1982=100",300.7
"Producer Price Index","WPU01130222","Broccoli","2023",2,"Base 1991=100",248.6
"Producer Price Index","WPU01130223","Cauliflower","2023",2,"Base 1991=100",165.1
"Producer Price Index","WPU01130225","Greens","2023",2,"Base 1991=100",248.6
"Producer Price Index","WPU01130226","Endive","2023",2,"Base 1991=100",949.5
"Producer Price Index","WPU01130228","Green peppers","2023",2,"Base 1991=100",439.8
"Producer Price Index","WPU01130229","Eggplant","2023",2,"Base 1991=100",341.5
"Producer Price Index","WPU01130231","Squash","2023",2,"Base 1991=100",191.6
"Producer Price Index","WPU01130232","Beets","2023",2,"Base 1991=100",136.6
"Producer Price Index","WPU011303","Sweet potatoes","2023",2,"Base 1982=100",154.5
"Producer Price Index","WPU011306","Potatoes, all","2023",2,"Base 2011=100",201.7
"Producer Price Index","WPU01130603","Potatoes, russet","2023",2,"Base 1991=100",365.3
"Producer Price Index","WPU01130604","Potatoes, round red","2023",2,"Base 1991=100",238.5
"Producer Price Index","WPU0119","All tree nuts","2023",2,"Base 1982=100",1266
"Producer Price Index","WPU01190101","Pecans","2023",2,"Base 1982=100",732.2
"Producer Price Index","WPU01190102","Almonds","2023",2,"Base 1991=100",361
"Producer Price Index","WPU01190103","Filberts","2023",2,"Base 1991=100",281.7
"Producer Price Index","WPU01190104","Walnuts","2023",2,"Base 1991=100",174.8
"Producer Price Index","WPU02","All processed foods and feeds","2023",2,"Base 1982=100",259.6
"Producer Price Index","WPU024","All processed fruits and vegetables","2023",2,"Base 1982=100",271
"Producer Price Index","WPU0241","All canned fruits and juices","2023",2,"Base 1982=100",279.8
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2023",2,"Base 1982=100",294
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2023",2,"Base 1982=100",278.1
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2023",2,"Base 1982=100",245
"Producer Price Index","WPU024202","Frozen fruits","2023",2,"Base 1982=100",291.6
"Producer Price Index","WPU0244","All canned vegetables and juices","2023",2,"Base 1982=100",241
"Producer Price Index","WPU02440102","Canned vegetables","2023",2,"Base 1987=100",272.6
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2023",2,"Base 1987=100",208.3
"Producer Price Index","WPU0245","All frozen vegetables","2023",2,"Base 1982=100",289
"Producer Price Index","WPU024502","Frozen potato products","2023",2,"Base 1990=100",296.7
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2023",2,"Base 1990=100",193.1
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2023",2,"Base 1982=100",311.8
"Producer Price Index","WPU02840102","Canned dry beans","2023",2,"Base 1982=100",203.9
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2023",2,"Base 1985=100",278.9
"Average retail price","APU0000711211","Bananas","2023",1,"Dollars per pound",0.639
"Average retail price","APU0000711311","Oranges, navel","2023",1,"Dollars per pound",1.514
"Average retail price","APU0000711412","Lemons","2023",1,"Dollars per pound",2.194
"Average retail price","APU0000711415","Strawberries","2023",1,"Dollars per 12 oz.",3.467
"Average retail price","APU0000712112","Potatoes, white","2023",1,"Dollars per pound",0.953
"Average retail price","APU0000712311","Tomatoes, field grown","2023",1,"Dollars per pound",2.11
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2023",1,"Dollars per 16 oz.",2.823
"Average retail price","APU0000714233","Beans, dried","2023",1,"Dollars per pound",1.703
"Average retail price","APU0000718311","Potato chips","2023",1,"Dollars per 16 oz.",6.238
"Average retail price","APU0000FL2101","Lettuce, romaine","2023",1,"Dollars per pound",3.058
"Consumer Price Index","CUUR0000SAF1","Food","2023",1,"Base 1982-84=100",319.136
"Consumer Price Index","CUUR0000SAF11","Food at home","2023",1,"Base 1982-84=100",301.435
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2023",1,"Base 1982-84=100",398.196
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2023",1,"Base 1982-84=100",406.905
"Consumer Price Index","CUUR0000SEFK01","Apples","2023",1,"Base 1982-84=100",372.933
"Consumer Price Index","CUUR0000SEFK02","Bananas","2023",1,"Base 1982-84=100",208.819
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2023",1,"Base December 1997=100",288.893
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2023",1,"Base December 1997=100",137.308
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2023",1,"Base 1982-84=100",387.76
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2023",1,"Base 1982-84=100",422.248
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2023",1,"Base 1982-84=100",436.546
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2023",1,"Base 1982-84=100",374.035
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2023",1,"Base 1982-84=100",378.017
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2023",1,"Base December 1997=100",197.142
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2023",1,"Base December 1997=100",179.755
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2023",1,"Base December 1997=100",168.424
"Consumer Price Index","CUUR0000SEFV","Food away from home","2023",1,"Base 1982-84=100",345.677
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2023",1,"Base 1982-84=100",569.592
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2023",1,"Base December 1997=100",198.517
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2023",1,"Base 1982-84=100",251.446
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2023",1,"Base December 1997=100",225.334
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2023",1,"Base December 1997=100",228.258
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2023",1,"Base December 1997=100",182.957
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2023",1,"Base 1982-84=100",158.123
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2023",1,"Base 1982=100",299.562
"Producer Price Index","WPU01","All farm products","2023",1,"Base 1982=100",246.2
"Producer Price Index","WPU0111","All fresh fruits and melons","2023",1,"Base 1982=100",189.5
"Producer Price Index","WPU011101","All citrus fruits","2023",1,"Base 1982=100",331.8
"Producer Price Index","WPU01110101","Grapefruits","2023",1,"Base 1982=100",633.2
"Producer Price Index","WPU01110104","Lemons","2023",1,"Base 1982=100",274.3
"Producer Price Index","WPU01110105","Oranges, Valencia","2023",1,"Base 1982=100",303.5
"Producer Price Index","WPU01110106","Oranges, navel","2023",1,"Base 1982=100",222.6
"Producer Price Index","WPU01110108","Tangerines","2023",1,"Base 1991=100",459.2
"Producer Price Index","WPU011102","All other fruits and berries","2023",1,"Base 1982=100",172.1
"Producer Price Index","WPU01110208","Apples, Granny Smith","2023",1,"Base 1991=100",217.6
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2023",1,"Base 1991=100",233.3
"Producer Price Index","WPU01110215","Apples, Red Delicious","2023",1,"Base 1991=100",327.1
"Producer Price Index","WPU01110216","Apples, McIntosh","2023",1,"Base 1982=100",233.7
"Producer Price Index","WPU01110221","Pears","2023",1,"Base 1982=100",165.7
"Producer Price Index","WPU01110222","Strawberries","2023",1,"Base 1982=100",228.7
"Producer Price Index","WPU011103","All melons","2023",1,"Base 1991=100",242.2
"Producer Price Index","WPU01110301","Cantaloupes","2023",1,"Base 1982=100",293
"Producer Price Index","WPU0113","All fresh and dry vegetables","2023",1,"Base 1982=100",355.9
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2023",1,"Base 1982=100",235
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2023",1,"Base 1982=100",352.8
"Producer Price Index","WPU01130211","Cabbage","2023",1,"Base 1982=100",419
"Producer Price Index","WPU01130212","Carrots","2023",1,"Base 1982=100",259.3
"Producer Price Index","WPU01130213","Celery","2023",1,"Base 1982=100",1033.8
"Producer Price Index","WPU01130214","Sweet corn","2023",1,"Base 1982=100",304.9
"Producer Price Index","WPU01130215","Lettuce","2023",1,"Base 1982=100",421.9
"Producer Price Index","WPU01130216","Onions, dry","2023",1,"Base 1982=100",210.8
"Producer Price Index","WPU01130217","Tomatoes","2023",1,"Base 1982=100",305.1
"Producer Price Index","WPU01130218","Snap beans","2023",1,"Base 1982=100",401.6
"Producer Price Index","WPU01130222","Broccoli","2023",1,"Base 1991=100",345.8
"Producer Price Index","WPU01130223","Cauliflower","2023",1,"Base 1991=100",66.2
"Producer Price Index","WPU01130225","Greens","2023",1,"Base 1991=100",256.2
"Producer Price Index","WPU01130226","Endive","2023",1,"Base 1991=100",979.6
"Producer Price Index","WPU01130228","Green peppers","2023",1,"Base 1991=100",575.9
"Producer Price Index","WPU01130229","Eggplant","2023",1,"Base 1991=100",396.8
"Producer Price Index","WPU01130231","Squash","2023",1,"Base 1991=100",334.3
"Producer Price Index","WPU01130232","Beets","2023",1,"Base 1991=100",126.2
"Producer Price Index","WPU01130234","Cucumbers","2023",1,"Base 1991=100",241.5
"Producer Price Index","WPU011303","Sweet potatoes","2023",1,"Base 1982=100",154.5
"Producer Price Index","WPU011306","Potatoes, all","2023",1,"Base 2011=100",206.3
"Producer Price Index","WPU01130603","Potatoes, russet","2023",1,"Base 1991=100",374.1
"Producer Price Index","WPU01130604","Potatoes, round red","2023",1,"Base 1991=100",237.7
"Producer Price Index","WPU0119","All tree nuts","2023",1,"Base 1982=100",1266
"Producer Price Index","WPU01190101","Pecans","2023",1,"Base 1982=100",732.2
"Producer Price Index","WPU01190102","Almonds","2023",1,"Base 1991=100",361
"Producer Price Index","WPU01190103","Filberts","2023",1,"Base 1991=100",281.7
"Producer Price Index","WPU01190104","Walnuts","2023",1,"Base 1991=100",174.8
"Producer Price Index","WPU02","All processed foods and feeds","2023",1,"Base 1982=100",262.3
"Producer Price Index","WPU024","All processed fruits and vegetables","2023",1,"Base 1982=100",268.5
"Producer Price Index","WPU0241","All canned fruits and juices","2023",1,"Base 1982=100",281
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2023",1,"Base 1982=100",293.6
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2023",1,"Base 1982=100",280.2
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2023",1,"Base 1982=100",238.1
"Producer Price Index","WPU024202","Frozen fruits","2023",1,"Base 1982=100",291.1
"Producer Price Index","WPU0244","All canned vegetables and juices","2023",1,"Base 1982=100",239.9
"Producer Price Index","WPU02440102","Canned vegetables","2023",1,"Base 1987=100",270.9
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2023",1,"Base 1987=100",207.6
"Producer Price Index","WPU0245","All frozen vegetables","2023",1,"Base 1982=100",281.7
"Producer Price Index","WPU024502","Frozen potato products","2023",1,"Base 1990=100",284.2
