"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Producer Price Index","WPU01130224","Spinach","2025",8,"Base 1991=100",379.5
"Producer Price Index","WPU01130225","Greens","2025",8,"Base 1991=100",261.9
"Producer Price Index","WPU01130226","Endive","2025",8,"Base 1991=100",773.7
"Producer Price Index","WPU01130228","Green peppers","2025",8,"Base 1991=100",416.5
"Producer Price Index","WPU01130231","Squash","2025",8,"Base 1991=100",305.5
"Producer Price Index","WPU01130232","Beets","2025",8,"Base 1991=100",174.9
"Producer Price Index","WPU01130234","Cucumbers","2025",8,"Base 1991=100",245.2
"Producer Price Index","WPU011303","Sweet potatoes","2025",8,"Base 1982=100",186.4
"Producer Price Index","WPU011306","Potatoes, all","2025",8,"Base 2011=100",126.8
"Producer Price Index","WPU01130603","Potatoes, russet","2025",8,"Base 1991=100",201
"Producer Price Index","WPU01130604","Potatoes, round red","2025",8,"Base 1991=100",200.7
"Producer Price Index","WPU0119","All tree nuts","2025",8,"Base 1982=100",1385.8
"Producer Price Index","WPU01190101","Pecans","2025",8,"Base 1982=100",857.5
"Producer Price Index","WPU01190102","Almonds","2025",8,"Base 1991=100",390.4
"Producer Price Index","WPU01190103","Filberts","2025",8,"Base 1991=100",361.8
"Producer Price Index","WPU01190104","Walnuts","2025",8,"Base 1991=100",230.8
"Producer Price Index","WPU02","All processed foods and feeds","2025",8,"Base 1982=100",277.4
"Producer Price Index","WPU024","All processed fruits and vegetables","2025",8,"Base 1982=100",296.4
"Producer Price Index","WPU0241","All canned fruits and juices","2025",8,"Base 1982=100",318.6
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2025",8,"Base 1982=100",315.2
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2025",8,"Base 1982=100",328
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2025",8,"Base 1982=100",351
"Producer Price Index","WPU024202","Frozen fruits","2025",8,"Base 1982=100",314.9
"Producer Price Index","WPU0244","All canned vegetables and juices","2025",8,"Base 1982=100",250.3
"Producer Price Index","WPU02440102","Canned vegetables","2025",8,"Base 1987=100",276.5
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2025",8,"Base 1987=100",221.9
"Producer Price Index","WPU0245","All frozen vegetables","2025",8,"Base 1982=100",316.5
"Producer Price Index","WPU024502","Frozen potato products","2025",8,"Base 1990=100",344.7
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2025",8,"Base 1990=100",194.6
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2025",8,"Base 1982=100",313.2
"Producer Price Index","WPU02840102","Canned dry beans","2025",8,"Base 1982=100",214.8
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2025",8,"Base 1985=100",315.2
"Average retail price","APU0000711211","Bananas","2025",7,"Dollars per pound",0.657
"Average retail price","APU0000711411","Grapefruit","2025",7,"Dollars per pound",1.726
"Average retail price","APU0000711412","Lemons","2025",7,"Dollars per pound",1.997
"Average retail price","APU0000711415","Strawberries","2025",7,"Dollars per 12 oz.",2.221
"Average retail price","APU0000712112","Potatoes, white","2025",7,"Dollars per pound",0.978
"Average retail price","APU0000712211","Lettuce, iceberg","2025",7,"Dollars per pound",1.579
"Average retail price","APU0000712311","Tomatoes, field grown","2025",7,"Dollars per pound",1.793
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2025",7,"Dollars per 16 oz.",4.641
"Average retail price","APU0000714233","Beans, dried","2025",7,"Dollars per pound",1.649
"Average retail price","APU0000718311","Potato chips","2025",7,"Dollars per 16 oz.",6.797
"Average retail price","APU0000FL2101","Lettuce, romaine","2025",7,"Dollars per pound",3.006
"Consumer Price Index","CUUR0000SAF1","Food","2025",7,"Base 1982-84=100",340.036
"Consumer Price Index","CUUR0000SAF11","Food at home","2025",7,"Base 1982-84=100",313.263
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2025",7,"Base 1982-84=100",394.191
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2025",7,"Base 1982-84=100",407.405
"Consumer Price Index","CUUR0000SEFK01","Apples","2025",7,"Base 1982-84=100",358.486
"Consumer Price Index","CUUR0000SEFK02","Bananas","2025",7,"Base 1982-84=100",215.742
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2025",7,"Base December 1997=100",304.171
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2025",7,"Base December 1997=100",137.05
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2025",7,"Base 1982-84=100",378.949
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2025",7,"Base 1982-84=100",432.357
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2025",7,"Base 1982-84=100",405.875
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2025",7,"Base 1982-84=100",337.34
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2025",7,"Base 1982-84=100",378.629
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2025",7,"Base December 1997=100",208.379
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2025",7,"Base December 1997=100",187.056
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2025",7,"Base December 1997=100",177.758
"Consumer Price Index","CUUR0000SEFV","Food away from home","2025",7,"Base 1982-84=100",383.808
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2025",7,"Base 1982-84=100",631.129
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2025",7,"Base December 1997=100",212.766
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2025",7,"Base 1982-84=100",261.396
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2025",7,"Base December 1997=100",241.936
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2025",7,"Base December 1997=100",243.925
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2025",7,"Base December 1997=100",196.549
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2025",7,"Base 1982-84=100",159.609
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2025",7,"Base 1982=100",301.162
"Producer Price Index","WPU01","All farm products","2025",7,"Base 1982=100",242.4
"Producer Price Index","WPU0111","All fresh fruits and melons","2025",7,"Base 1982=100",155.3
"Producer Price Index","WPU011101","All citrus fruits","2025",7,"Base 1982=100",420.8
"Producer Price Index","WPU01110101","Grapefruits","2025",7,"Base 1982=100",663.4
"Producer Price Index","WPU01110104","Lemons","2025",7,"Base 1982=100",345.2
"Producer Price Index","WPU01110105","Oranges, Valencia","2025",7,"Base 1982=100",279.9
"Producer Price Index","WPU01110108","Tangerines","2025",7,"Base 1991=100",689.5
"Producer Price Index","WPU011102","All other fruits and berries","2025",7,"Base 1982=100",131.2
"Producer Price Index","WPU01110201","Plums and fresh prunes","2025",7,"Base 1991=100",451.2
"Producer Price Index","WPU01110202","Nectarines","2025",7,"Base 1991=100",169.6
"Producer Price Index","WPU01110208","Apples, Granny Smith","2025",7,"Base 1991=100",125.3
"Producer Price Index","WPU01110211","Apples, Golden Delicious","2025",7,"Base 1991=100",162.3
"Producer Price Index","WPU01110215","Apples, Red Delicious","2025",7,"Base 1991=100",232.9
"Producer Price Index","WPU01110216","Apples, McIntosh","2025",7,"Base 1982=100",221.1
"Producer Price Index","WPU01110219","Peaches","2025",7,"Base 1982=100",359.3
"Producer Price Index","WPU01110222","Strawberries","2025",7,"Base 1982=100",107.3
"Producer Price Index","WPU01110224","Raspberries","2025",7,"Base 1991=100",21.8
"Producer Price Index","WPU01110225","Blackberries","2025",7,"Base 1991=100",53.7
"Producer Price Index","WPU011103","All melons","2025",7,"Base 1991=100",141.6
"Producer Price Index","WPU01110301","Cantaloupes","2025",7,"Base 1982=100",169.6
"Producer Price Index","WPU01110302","Honeydews","2025",7,"Base 1991=100",196.8
"Producer Price Index","WPU01110303","Watermelons","2025",7,"Base 1991=100",207.7
"Producer Price Index","WPU0113","All fresh and dry vegetables","2025",7,"Base 1982=100",317.3
"Producer Price Index","WPU011301","All dry vegetables (dry beans, peas, and lentils)","2025",7,"Base 1982=100",191.8
"Producer Price Index","WPU011302","All fresh vegetables, except potatoes","2025",7,"Base 1982=100",368.9
"Producer Price Index","WPU01130212","Carrots","2025",7,"Base 1982=100",277.9
"Producer Price Index","WPU01130213","Celery","2025",7,"Base 1982=100",238.7
"Producer Price Index","WPU01130215","Lettuce","2025",7,"Base 1982=100",574.4
"Producer Price Index","WPU01130216","Onions, dry","2025",7,"Base 1982=100",156.6
"Producer Price Index","WPU01130217","Tomatoes","2025",7,"Base 1982=100",237.3
"Producer Price Index","WPU01130222","Broccoli","2025",7,"Base 1991=100",334.6
"Producer Price Index","WPU01130223","Cauliflower","2025",7,"Base 1991=100",87.1
"Producer Price Index","WPU01130224","Spinach","2025",7,"Base 1991=100",1104.7
"Producer Price Index","WPU01130225","Greens","2025",7,"Base 1991=100",244.2
"Producer Price Index","WPU01130226","Endive","2025",7,"Base 1991=100",773.7
"Producer Price Index","WPU01130232","Beets","2025",7,"Base 1991=100",174.9
"Producer Price Index","WPU011303","Sweet potatoes","2025",7,"Base 1982=100",186.4
"Producer Price Index","WPU011306","Potatoes, all","2025",7,"Base 2011=100",120.5
"Producer Price Index","WPU01130601","Potatoes, long white","2025",7,"Base 1991=100",254.4
"Producer Price Index","WPU01130603","Potatoes, russet","2025",7,"Base 1991=100",192
"Producer Price Index","WPU01130604","Potatoes, round red","2025",7,"Base 1991=100",179.5
"Producer Price Index","WPU0119","All tree nuts","2025",7,"Base 1982=100",1385.8
"Producer Price Index","WPU01190101","Pecans","2025",7,"Base 1982=100",857.5
"Producer Price Index","WPU01190102","Almonds","2025",7,"Base 1991=100",390.4
"Producer Price Index","WPU01190103","Filberts","2025",7,"Base 1991=100",361.8
"Producer Price Index","WPU01190104","Walnuts","2025",7,"Base 1991=100",230.8
"Producer Price Index","WPU02","All processed foods and feeds","2025",7,"Base 1982=100",275.2
"Producer Price Index","WPU024","All processed fruits and vegetables","2025",7,"Base 1982=100",295.7
"Producer Price Index","WPU0241","All canned fruits and juices","2025",7,"Base 1982=100",316.4
"Producer Price Index","WPU024101","Canned fruits, excluding baby foods","2025",7,"Base 1982=100",308.9
"Producer Price Index","WPU024102","Canned and fresh fruit juices, nectars, and concentrates","2025",7,"Base 1982=100",328.2
"Producer Price Index","WPU0242","All frozen fruits, juices and ades","2025",7,"Base 1982=100",341.3
"Producer Price Index","WPU024202","Frozen fruits","2025",7,"Base 1982=100",291.1
"Producer Price Index","WPU0244","All canned vegetables and juices","2025",7,"Base 1982=100",250.6
"Producer Price Index","WPU02440102","Canned vegetables","2025",7,"Base 1987=100",277.3
"Producer Price Index","WPU02440127","Canned catsup and other tomato based sauces","2025",7,"Base 1987=100",221.8
"Producer Price Index","WPU0245","All frozen vegetables","2025",7,"Base 1982=100",315.4
"Producer Price Index","WPU024502","Frozen potato products","2025",7,"Base 1990=100",344.7
"Producer Price Index","WPU024505","Frozen vegetables, other than potato products","2025",7,"Base 1990=100",192.8
"Producer Price Index","WPU0282","Pickles and other pickled products, including horseradish","2025",7,"Base 1982=100",313.2
"Producer Price Index","WPU02840102","Canned dry beans","2025",7,"Base 1982=100",214.8
"Producer Price Index","WPU02890172","Chips (potato, corn, etc.)","2025",7,"Base 1985=100",315.1
"Average retail price","APU0000711211","Bananas","2025",6,"Dollars per pound",0.654
"Average retail price","APU0000711311","Oranges, navel","2025",6,"Dollars per pound",1.633
"Average retail price","APU0000711411","Grapefruit","2025",6,"Dollars per pound",1.715
"Average retail price","APU0000711412","Lemons","2025",6,"Dollars per pound",1.882
"Average retail price","APU0000711415","Strawberries","2025",6,"Dollars per 12 oz.",2.223
"Average retail price","APU0000712112","Potatoes, white","2025",6,"Dollars per pound",0.981
