Product volumes (million pounds)              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more or less detail, click the appropriate outline symbol, 1 or 2, to the left of the Column letter A above.  
To expand or collapse data, click the + or - outline symbols.",,,,,,Back to content page,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 6
,,Low fat (1% milk fat),,,,,"6,277","6,304","6,351","6,234","6,268","6,452","6,554","6,745","6,888","7,090","7,481","7,647","7,756","7,502","7,357","7,718","7,305","6,805","6,443","6,068","5,810","5,455","5,019","4,851"
,,Skim,,,,,"8,348","8,144","8,091","7,830","7,796","8,028","8,113","8,223","8,276","8,217","8,385","8,216","7,740","7,093","6,318","5,635","5,014","4,410","3,965","3,543","3,068","2,692","2,461","2,238"
,,Flavored whole,,,,,925,996,989,981,832,743,705,666,590,575,551,520,519,567,534,572,613,656,708,780,766,810,765,753
,,"Flavored, other than whole",,,,,"2,736","2,845","3,005","3,207","3,518","3,655","3,744","3,716","3,750","3,870","3,981","3,898","3,853","3,825","3,781","3,827","3,915","3,978","3,831","3,747","2,876","3,361","3,466","3,292"
,,Buttermilk,,,,,623,599,579,556,534,522,515,522,484,453,454,471,477,496,486,514,512,501,478,444,421,454,450,446
,,Eggnog,,,,,127,125,150,153,147,147,151,141,143,142,141,141,134,133,132,126,134,146,123,121,132,141,127,141
,,Other,,,,,87,89,61,130,173,244,828,985,"1,157","1,098",348,38,46,45,52,46,60,50,118,307,804,"1,180","1,286","1,529"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frozen dairy products,,,,,,"7,437","7,244","7,221","7,415","7,004","7,074","7,266","7,239","7,136","6,940","7,048","6,915","7,096","6,949","6,840","7,122","7,104","7,058","6,889","7,106","7,023","6,939","7,013","6,639"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ice cream,,,,,"6,504","6,452","6,414","6,634","6,250","6,303","6,462","6,356","6,251","6,273","6,395","6,209","6,432","6,169","6,090","6,341","6,368","6,317","6,222","6,406","6,523","6,432","6,528","6,156"
,,,Regular,,,,"4,604","4,560","4,723","4,667","4,324","4,512","4,616","4,494","4,374","4,316","4,367","4,175","4,202","4,218","4,069","4,214","4,261","4,094","4,006","4,132","4,304","4,138","4,346","3,988"
,,,Low fat,,,,"1,755","1,787","1,591","1,872","1,819","1,693","1,770","1,795","1,804","1,878","1,953","1,953","2,149","1,884","1,935","2,063","2,049","2,169","2,163","2,227","2,176","2,244","2,094","2,119"
,,,Nonfat,,,,144,105,99,96,107,98,76,68,73,79,75,81,81,67,86,64,58,54,54,46,43,50,87,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sherbet,,,,,312,316,342,325,329,338,355,376,346,320,296,272,261,277,290,268,266,258,230,267,221,210,196,167
,,Frozen yogurt,,,,,567,427,425,422,387,397,396,448,471,276,300,376,345,447,399,445,401,377,330,342,211,243,229,254
,,Other frozen dairy,,,,,55,49,41,34,38,37,53,58,67,72,57,58,58,57,61,67,69,106,107,92,69,54,60,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Butter,,,,,,"1,256","1,232","1,355","1,242","1,247","1,347","1,448","1,533","1,644","1,572","1,564","1,810","1,860","1,863","1,855","1,850","1,839","1,847","1,968","1,994","2,146","2,063","2,059","2,115"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
