"Table","Year","Data_item","Region","State","Value","Units"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Maine",61,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Maryland",148,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Massachusetts",59,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New Hampshire",35,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New Jersey",63,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","New York",935,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Pennsylvania",694,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Rhode Island",6.3,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Vermont",195,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northeast","Total region",2267.1,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Michigan",430,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Minnesota",942,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Wisconsin",1822,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Lake States","Total region",3194,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Illinois",289,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Indiana",236,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Iowa",474,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Missouri",329,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Ohio",441,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Corn Belt","Total region",1769,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","Kansas",177,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","Nebraska",171,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","North Dakota",130,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","South Dakota",180,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Northern Plains","Total region",658,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","Kentucky",331,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","North Carolina",167,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","Tennessee",272,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","Virginia",187,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","West Virginia",47,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Appalachia","Total region",1004,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southeast","Alabama",120,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southeast","Florida",194,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southeast","Georgia",146,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southeast","South Carolina",63,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southeast","Total region",523,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Delta States","Arkansas",97,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Delta States","Louisiana",159,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Delta States","Mississippi",168,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Delta States","Total region",424,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southern Plains","Oklahoma",140,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southern Plains","Texas",355,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Southern Plains","Total region",495,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Arizona",50,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Colorado",79,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Idaho",147,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Montana",36,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Nevada",13.9,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","New Mexico",31,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Utah",80,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Wyoming",15.5,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Mountain Region","Total region",452.4,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","West Coast","California",763,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","West Coast","Oregon",95,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","West Coast","Washington",180,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","West Coast","Total region",1038,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Other States","Alaska",1.7,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Other States","Hawaii",12.8,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","Other States","Total region",14.5,"Thousand head"
"Milk cows",1971,"Milk cows, average inventory","United States","Total region",11839,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Connecticut",57,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Delaware",12.3,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Maine",61,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Maryland",148,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Massachusetts",57,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","New Hampshire",33,"Thousand head"
