"Table","Year","Data_item","Region","State","Value","Units"
"Milk per cow",1982,"Milk production per cow, average","Southern Plains","Total region",11239,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Arizona",14840,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Colorado",12960,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Idaho",12948,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Montana",11759,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Nevada",14063,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","New Mexico",14246,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Utah",13512,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Wyoming",11417,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Mountain Region","Total region",13404,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","West Coast","California",15455,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","West Coast","Oregon",13141,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","West Coast","Washington",15198,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","West Coast","Total region",15229,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Other States","Alaska",12545,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Other States","Hawaii",11520,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","Other States","Total region",11603,"Pounds"
"Milk per cow",1982,"Milk production per cow, average","United States","Total region",12306,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Connecticut",13367,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Delaware",13301,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Maine",12690,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Maryland",13383,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Massachusetts",12771,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","New Hampshire",12226,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","New Jersey",12500,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","New York",12552,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Pennsylvania",12939,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Rhode Island",12500,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Vermont",12902,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northeast","Total region",12780,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Lake States","Michigan",13683,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Lake States","Minnesota",12139,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Lake States","Wisconsin",12900,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Lake States","Total region",12783,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Illinois",11868,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Indiana",11476,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Iowa",11211,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Missouri",12205,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Ohio",12448,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Corn Belt","Total region",11861,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northern Plains","Kansas",11056,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northern Plains","Nebraska",11598,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northern Plains","North Dakota",10900,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northern Plains","South Dakota",10669,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Northern Plains","Total region",11029,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","Kentucky",9975,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","North Carolina",12865,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","Tennessee",10465,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","Virginia",12035,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","West Virginia",10139,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Appalachia","Total region",11040,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southeast","Alabama",10811,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southeast","Florida",11063,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southeast","Georgia",10814,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southeast","South Carolina",11938,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southeast","Total region",11055,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Delta States","Arkansas",10181,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Delta States","Louisiana",9446,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Delta States","Mississippi",9394,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Delta States","Total region",9647,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southern Plains","Oklahoma",11056,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southern Plains","Texas",11931,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Southern Plains","Total region",11719,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Arizona",14904,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Colorado",12987,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Idaho",13236,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Montana",12241,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Nevada",13593,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","New Mexico",15377,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Utah",13460,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Wyoming",11429,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Mountain Region","Total region",13654,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","West Coast","California",15541,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","West Coast","Oregon",13495,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","West Coast","Washington",16120,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","West Coast","Total region",15477,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Other States","Alaska",13500,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Other States","Hawaii",11920,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","Other States","Total region",12037,"Pounds"
"Milk per cow",1983,"Milk production per cow, average","United States","Total region",12622,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Connecticut",12729,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Delaware",13150,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Maine",11966,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Maryland",12750,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Massachusetts",11938,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","New Hampshire",12033,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","New Jersey",12154,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","New York",12658,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Pennsylvania",12926,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Rhode Island",12222,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Vermont",12628,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northeast","Total region",12702,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Lake States","Michigan",13579,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Lake States","Minnesota",11647,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Lake States","Wisconsin",12856,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Lake States","Total region",12603,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Illinois",11743,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Indiana",11628,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Iowa",11029,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Missouri",12026,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Ohio",12433,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Corn Belt","Total region",11783,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northern Plains","Kansas",11036,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northern Plains","Nebraska",11449,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northern Plains","North Dakota",10550,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northern Plains","South Dakota",10012,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Northern Plains","Total region",10681,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","Kentucky",9000,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","North Carolina",12685,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","Tennessee",10346,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","Virginia",11921,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","West Virginia",10853,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Appalachia","Total region",10691,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southeast","Alabama",10510,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southeast","Florida",11035,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southeast","Georgia",10617,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southeast","South Carolina",11511,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southeast","Total region",10895,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Delta States","Arkansas",10228,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Delta States","Louisiana",9206,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Delta States","Mississippi",9625,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Delta States","Total region",9652,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southern Plains","Oklahoma",11300,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southern Plains","Texas",12025,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Southern Plains","Total region",11852,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Arizona",14723,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Colorado",12747,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Idaho",13273,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Montana",12179,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Nevada",13202,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","New Mexico",15719,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Utah",12827,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Wyoming",11186,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Mountain Region","Total region",13548,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","West Coast","California",15636,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","West Coast","Oregon",13653,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","West Coast","Washington",16206,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","West Coast","Total region",15580,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Other States","Alaska",12636,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Other States","Hawaii",12231,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","Other States","Total region",12265,"Pounds"
"Milk per cow",1984,"Milk production per cow, average","United States","Total region",12541,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Connecticut",13191,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Delaware",14282,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Maine",12236,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Maryland",13655,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Massachusetts",12681,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","New Hampshire",12552,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","New Jersey",12816,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","New York",12836,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Pennsylvania",13491,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Rhode Island",12571,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Vermont",12819,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northeast","Total region",13092,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Lake States","Michigan",14132,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Lake States","Minnesota",11867,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Lake States","Wisconsin",13166,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Lake States","Total region",12913,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Illinois",11987,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Indiana",12281,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Iowa",11528,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Missouri",12265,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Ohio",13198,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Corn Belt","Total region",12283,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northern Plains","Kansas",11789,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northern Plains","Nebraska",12294,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northern Plains","North Dakota",11089,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northern Plains","South Dakota",10765,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Northern Plains","Total region",11412,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","Kentucky",9619,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","North Carolina",13656,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","Tennessee",10643,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","Virginia",12817,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","West Virginia",11576,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Appalachia","Total region",11343,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southeast","Alabama",10940,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southeast","Florida",11780,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southeast","Georgia",11111,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southeast","South Carolina",12522,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southeast","Total region",11557,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Delta States","Arkansas",10600,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Delta States","Louisiana",9902,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Delta States","Mississippi",10069,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Delta States","Total region",10174,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southern Plains","Oklahoma",11485,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southern Plains","Texas",12323,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Southern Plains","Total region",12120,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Arizona",15674,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Colorado",14167,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Idaho",14241,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Montana",12464,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Nevada",12872,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","New Mexico",16090,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Utah",13675,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Wyoming",11552,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Mountain Region","Total region",14403,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","West Coast","California",16102,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","West Coast","Oregon",14380,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","West Coast","Washington",16816,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","West Coast","Total region",16092,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Other States","Alaska",13875,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Other States","Hawaii",12566,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","Other States","Total region",12729,"Pounds"
"Milk per cow",1985,"Milk production per cow, average","United States","Total region",13024,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Connecticut",13953,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Delaware",14600,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Maine",13346,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Maryland",13846,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Massachusetts",13000,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","New Hampshire",13321,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","New Jersey",13306,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","New York",13107,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Pennsylvania",13831,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Rhode Island",13226,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Vermont",13091,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northeast","Total region",13427,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Lake States","Michigan",14259,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Lake States","Minnesota",12200,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Lake States","Wisconsin",13222,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Lake States","Total region",13062,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Illinois",12403,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Indiana",12692,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Iowa",11579,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Missouri",12415,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Ohio",13609,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Corn Belt","Total region",12566,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northern Plains","Kansas",12274,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northern Plains","Nebraska",12500,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northern Plains","North Dakota",11072,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northern Plains","South Dakota",10801,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Northern Plains","Total region",11585,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","Kentucky",10342,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","North Carolina",14008,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","Tennessee",10995,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","Virginia",13528,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","West Virginia",12097,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Appalachia","Total region",11882,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southeast","Alabama",11500,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southeast","Florida",12050,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southeast","Georgia",11606,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southeast","South Carolina",12442,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southeast","Total region",11899,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Delta States","Arkansas",11103,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Delta States","Louisiana",9966,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Delta States","Mississippi",10256,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Delta States","Total region",10389,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southern Plains","Oklahoma",11442,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southern Plains","Texas",12258,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Southern Plains","Total region",12062,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Arizona",15907,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Colorado",14850,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Idaho",14392,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Montana",13000,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Nevada",13158,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","New Mexico",16545,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Utah",14110,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Wyoming",12130,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Mountain Region","Total region",14769,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","West Coast","California",16095,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","West Coast","Oregon",14859,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","West Coast","Washington",17579,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","West Coast","Total region",16236,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Other States","Alaska",14318,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Other States","Hawaii",13565,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","Other States","Total region",13686,"Pounds"
"Milk per cow",1986,"Milk production per cow, average","United States","Total region",13285,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Connecticut",14921,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Delaware",14632,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Maine",13958,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Maryland",13835,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Massachusetts",13676,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","New Hampshire",13458,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","New Jersey",13212,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","New York",13916,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Pennsylvania",14123,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Rhode Island",13793,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Vermont",13389,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northeast","Total region",13940,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Lake States","Michigan",14537,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Lake States","Minnesota",12880,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Lake States","Wisconsin",13816,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Lake States","Total region",13649,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Illinois",13090,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Indiana",12921,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Iowa",12947,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Missouri",12672,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Ohio",13829,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Corn Belt","Total region",13159,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northern Plains","Kansas",12610,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northern Plains","Nebraska",12885,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northern Plains","North Dakota",11688,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northern Plains","South Dakota",11608,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Northern Plains","Total region",12148,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","Kentucky",10977,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","North Carolina",14136,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","Tennessee",11146,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","Virginia",13460,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","West Virginia",12034,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Appalachia","Total region",12097,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southeast","Alabama",11409,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southeast","Florida",12480,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southeast","Georgia",11717,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southeast","South Carolina",12487,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southeast","Total region",12139,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Delta States","Arkansas",11688,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Delta States","Louisiana",10488,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Delta States","Mississippi",10917,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Delta States","Total region",10977,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southern Plains","Oklahoma",11471,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southern Plains","Texas",12506,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Southern Plains","Total region",12268,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Arizona",15911,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Colorado",15481,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Idaho",14937,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Montana",13560,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Nevada",13842,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","New Mexico",16317,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Utah",14372,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Wyoming",12371,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Mountain Region","Total region",15107,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","West Coast","California",16897,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","West Coast","Oregon",15649,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","West Coast","Washington",17421,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","West Coast","Total region",16894,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Other States","Alaska",15130,"Pounds"
"Milk per cow",1987,"Milk production per cow, average","Other States","Hawaii",13448,"Pounds"
