"Year","Category","Data_item","Quantity","Units"
2014,"Cheese","American type",13.666,"Pounds per capita"
2015,"Cheese","American type",14.044,"Pounds per capita"
2016,"Cheese","American type",14.362,"Pounds per capita"
2017,"Cheese","American type",15.09,"Pounds per capita"
2018,"Cheese","American type",15.403,"Pounds per capita"
2019,"Cheese","American type",15.539,"Pounds per capita"
2020,"Cheese","American type",15.461,"Pounds per capita"
2021,"Cheese","American type",16.196,"Pounds per capita"
2022,"Cheese","American type",16.294,"Pounds per capita"
2023,"Cheese","American type",16.813,"Pounds per capita"
1975,"Cheese","Other-than-American",6.126,"Pounds per capita"
1976,"Cheese","Other-than-American",6.628,"Pounds per capita"
1977,"Cheese","Other-than-American",6.782,"Pounds per capita"
1978,"Cheese","Other-than-American",7.31,"Pounds per capita"
1979,"Cheese","Other-than-American",7.568,"Pounds per capita"
1980,"Cheese","Other-than-American",7.904,"Pounds per capita"
1981,"Cheese","Other-than-American",8.031,"Pounds per capita"
1982,"Cheese","Other-than-American",8.597,"Pounds per capita"
1983,"Cheese","Other-than-American",8.957,"Pounds per capita"
1984,"Cheese","Other-than-American",9.621,"Pounds per capita"
1985,"Cheese","Other-than-American",10.358,"Pounds per capita"
1986,"Cheese","Other-than-American",10.996,"Pounds per capita"
1987,"Cheese","Other-than-American",11.692,"Pounds per capita"
1988,"Cheese","Other-than-American",12.213,"Pounds per capita"
1989,"Cheese","Other-than-American",12.763,"Pounds per capita"
1990,"Cheese","Other-than-American",13.48,"Pounds per capita"
1991,"Cheese","Other-than-American",13.902,"Pounds per capita"
1992,"Cheese","Other-than-American",14.591,"Pounds per capita"
1993,"Cheese","Other-than-American",14.715,"Pounds per capita"
1994,"Cheese","Other-than-American",15.129,"Pounds per capita"
1995,"Cheese","Other-than-American",14.985,"Pounds per capita"
1996,"Cheese","Other-than-American",15.261,"Pounds per capita"
1997,"Cheese","Other-than-American",15.473,"Pounds per capita"
1998,"Cheese","Other-than-American",15.631,"Pounds per capita"
1999,"Cheese","Other-than-American",16.18,"Pounds per capita"
2000,"Cheese","Other-than-American",16.854,"Pounds per capita"
2001,"Cheese","Other-than-American",16.992,"Pounds per capita"
2002,"Cheese","Other-than-American",17.401,"Pounds per capita"
2003,"Cheese","Other-than-American",17.696,"Pounds per capita"
2004,"Cheese","Other-than-American",18.096,"Pounds per capita"
2005,"Cheese","Other-than-American",18.663,"Pounds per capita"
2006,"Cheese","Other-than-American",19.098,"Pounds per capita"
2007,"Cheese","Other-than-American",19.881,"Pounds per capita"
2008,"Cheese","Other-than-American",19.018,"Pounds per capita"
2009,"Cheese","Other-than-American",18.902,"Pounds per capita"
2010,"Cheese","Other-than-American",19.419,"Pounds per capita"
2011,"Cheese","Other-than-American",19.977,"Pounds per capita"
2012,"Cheese","Other-than-American",20.04,"Pounds per capita"
2013,"Cheese","Other-than-American",20.092,"Pounds per capita"
2014,"Cheese","Other-than-American",20.509,"Pounds per capita"
2015,"Cheese","Other-than-American",21.072,"Pounds per capita"
2016,"Cheese","Other-than-American",22.077,"Pounds per capita"
2017,"Cheese","Other-than-American",21.864,"Pounds per capita"
2018,"Cheese","Other-than-American",22.594,"Pounds per capita"
2019,"Cheese","Other-than-American",22.794,"Pounds per capita"
2020,"Cheese","Other-than-American",22.408,"Pounds per capita"
2021,"Cheese","Other-than-American",23.08,"Pounds per capita"
2022,"Cheese","Other-than-American",23.613,"Pounds per capita"
2023,"Cheese","Other-than-American",23.395,"Pounds per capita"
1975,"Cheese","Cottage",4.589,"Pounds per capita"
1976,"Cheese","Cottage",4.632,"Pounds per capita"
1977,"Cheese","Cottage",4.618,"Pounds per capita"
1978,"Cheese","Cottage",4.6,"Pounds per capita"
1979,"Cheese","Cottage",4.434,"Pounds per capita"
1980,"Cheese","Cottage",4.409,"Pounds per capita"
1981,"Cheese","Cottage",4.27,"Pounds per capita"
1982,"Cheese","Cottage",4.16,"Pounds per capita"
1983,"Cheese","Cottage",4.089,"Pounds per capita"
1984,"Cheese","Cottage",4.083,"Pounds per capita"
1985,"Cheese","Cottage",4.026,"Pounds per capita"
1986,"Cheese","Cottage",4.031,"Pounds per capita"
1987,"Cheese","Cottage",3.892,"Pounds per capita"
1988,"Cheese","Cottage",3.828,"Pounds per capita"
1989,"Cheese","Cottage",3.53,"Pounds per capita"
1990,"Cheese","Cottage",3.326,"Pounds per capita"
1991,"Cheese","Cottage",3.231,"Pounds per capita"
1992,"Cheese","Cottage",3.064,"Pounds per capita"
1993,"Cheese","Cottage",2.874,"Pounds per capita"
1994,"Cheese","Cottage",2.775,"Pounds per capita"
1995,"Cheese","Cottage",2.667,"Pounds per capita"
1996,"Cheese","Cottage",2.559,"Pounds per capita"
1997,"Cheese","Cottage",2.587,"Pounds per capita"
1998,"Cheese","Cottage",2.637,"Pounds per capita"
1999,"Cheese","Cottage",2.578,"Pounds per capita"
2000,"Cheese","Cottage",2.603,"Pounds per capita"
2001,"Cheese","Cottage",2.601,"Pounds per capita"
2002,"Cheese","Cottage",2.596,"Pounds per capita"
2003,"Cheese","Cottage",2.648,"Pounds per capita"
2004,"Cheese","Cottage",2.655,"Pounds per capita"
2005,"Cheese","Cottage",2.65,"Pounds per capita"
2006,"Cheese","Cottage",2.602,"Pounds per capita"
2007,"Cheese","Cottage",2.563,"Pounds per capita"
2008,"Cheese","Cottage",2.343,"Pounds per capita"
2009,"Cheese","Cottage",2.378,"Pounds per capita"
2010,"Cheese","Cottage",2.321,"Pounds per capita"
2011,"Cheese","Cottage",2.257,"Pounds per capita"
2012,"Cheese","Cottage",2.257,"Pounds per capita"
2013,"Cheese","Cottage",2.144,"Pounds per capita"
2014,"Cheese","Cottage",2.097,"Pounds per capita"
2015,"Cheese","Cottage",2.122,"Pounds per capita"
2016,"Cheese","Cottage",2.157,"Pounds per capita"
2017,"Cheese","Cottage",2.076,"Pounds per capita"
2018,"Cheese","Cottage",2.126,"Pounds per capita"
2019,"Cheese","Cottage",2.088,"Pounds per capita"
2020,"Cheese","Cottage",2.022,"Pounds per capita"
2021,"Cheese","Cottage",1.931,"Pounds per capita"
2022,"Cheese","Cottage",1.914,"Pounds per capita"
2023,"Cheese","Cottage",2.128,"Pounds per capita"
1975,"Butter","Butter",4.728,"Pounds per capita"
1976,"Butter","Butter",4.313,"Pounds per capita"
1977,"Butter","Butter",4.294,"Pounds per capita"
1978,"Butter","Butter",4.355,"Pounds per capita"
1979,"Butter","Butter",4.491,"Pounds per capita"
1980,"Butter","Butter",4.468,"Pounds per capita"
1981,"Butter","Butter",4.238,"Pounds per capita"
1982,"Butter","Butter",4.351,"Pounds per capita"
1983,"Butter","Butter",4.907,"Pounds per capita"
1984,"Butter","Butter",4.976,"Pounds per capita"
1985,"Butter","Butter",4.872,"Pounds per capita"
1986,"Butter","Butter",4.832,"Pounds per capita"
1987,"Butter","Butter",4.435,"Pounds per capita"
1988,"Butter","Butter",4.486,"Pounds per capita"
1989,"Butter","Butter",4.431,"Pounds per capita"
1990,"Butter","Butter",4.307,"Pounds per capita"
1991,"Butter","Butter",4.377,"Pounds per capita"
1992,"Butter","Butter",4.324,"Pounds per capita"
1993,"Butter","Butter",4.654,"Pounds per capita"
1994,"Butter","Butter",4.73,"Pounds per capita"
1995,"Butter","Butter",4.61,"Pounds per capita"
1996,"Butter","Butter",4.293,"Pounds per capita"
1997,"Butter","Butter",4.187,"Pounds per capita"
1998,"Butter","Butter",4.338,"Pounds per capita"
1999,"Butter","Butter",4.615,"Pounds per capita"
2000,"Butter","Butter",4.466,"Pounds per capita"
2001,"Butter","Butter",4.343,"Pounds per capita"
2002,"Butter","Butter",4.398,"Pounds per capita"
2003,"Butter","Butter",4.453,"Pounds per capita"
2004,"Butter","Butter",4.494,"Pounds per capita"
2005,"Butter","Butter",4.513,"Pounds per capita"
2006,"Butter","Butter",4.665,"Pounds per capita"
2007,"Butter","Butter",4.684,"Pounds per capita"
2008,"Butter","Butter",4.973,"Pounds per capita"
2009,"Butter","Butter",4.951,"Pounds per capita"
